Vds	Vsg = 150	Vsg = 300	Vsg = 450	Vsg = 600	Vsg = 750	Vsg = 900
0.475	-0.00010236	-0.0022386	-0.010008	-0.01706	-0.02508	-0.04716
0.47	-0.00010144	-0.0022292	-0.00995399999999998	-0.01712	-0.0254799999999999	-0.0483999999999999
0.465	-9.97599999999999e-05	-0.0022156	-0.00992399999999998	-0.01718	-0.0259199999999999	-0.0496199999999999
0.46	-9.77799999999999e-05	-0.0021888	-0.00989999999999998	-0.01724	-0.0262999999999999	-0.0508399999999999
0.455	-9.63599999999999e-05	-0.0021704	-0.00987599999999998	-0.01732	-0.02668	-0.0521399999999999
0.45	-9.48799999999999e-05	-0.00216	-0.009866	-0.01736	-0.0270599999999999	-0.05348
0.445	-9.304e-05	-0.0021342	-0.009876	-0.01736	-0.0273399999999999	-0.0549200000000001
0.44	-9.13600000000001e-05	-0.0021028	-0.009896	-0.01744	-0.0275600000000001	-0.0564000000000002
0.435	-8.99400000000001e-05	-0.0020872	-0.009936	-0.0176	-0.0279000000000001	-0.0578200000000001
0.43	-8.87600000000001e-05	-0.0020728	-0.00995800000000001	-0.0177199999999999	-0.0283800000000001	-0.0593200000000001
0.425	-8.754e-05	-0.0020466	-0.00994000000000001	-0.0178	-0.0289600000000001	-0.0608800000000001
0.42	-8.62199999999999e-05	-0.0020244	-0.00990400000000001	-0.01794	-0.02958	-0.06236
0.415	-8.49399999999999e-05	-0.0020178	-0.00985600000000001	-0.01808	-0.0301399999999999	-0.0639399999999999
0.41	-8.36599999999999e-05	-0.0020082	-0.009846	-0.0180600000000001	-0.0306799999999998	-0.06566
0.405	-8.23199999999999e-05	-0.0019884	-0.00988799999999999	-0.0180600000000001	-0.0312799999999999	-0.06732
0.4	-8.11e-05	-0.0019784	-0.00993199999999998	-0.01824	-0.0319	-0.0689399999999999
0.395	-8.014e-05	-0.0019764	-0.00997599999999999	-0.01846	-0.0326	-0.0705799999999999
0.39	-7.928e-05	-0.0019574	-0.00999399999999999	-0.01864	-0.0334000000000001	-0.0722199999999999
0.385	-7.804e-05	-0.0019256	-0.009948	-0.01878	-0.0341800000000002	-0.0738399999999999
0.38	-7.648e-05	-0.0019018	-0.00992600000000001	-0.01884	-0.0349800000000001	-0.0755399999999999
0.375	-7.51999999999999e-05	-0.0018816	-0.009934	-0.01884	-0.03576	-0.0773199999999999
0.37	-7.40799999999999e-05	-0.0018614	-0.00991399999999999	-0.01888	-0.0365	-0.0790399999999999
