vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.715	7.1339e-09	-1.5155e-09	6.57e-12	3.2022e-07	-3.26e-07	6.2372e-09	-7.4023e-10	5.31e-12	3.1888e-07	-3.2446e-07	5.9271e-09	-3.1174e-10	-1.13e-12	3.19e-07	-3.2462e-07	5.726e-09	-1.0623e-10	2.671e-11	3.1892e-07	-3.245e-07	5.7652e-09	-1.368e-11	-4.93e-12	3.1898e-07	-3.248e-07	5.6568e-09	5.28e-12	-5.18e-12	3.202e-07	-3.2574e-07	5.53e-09	4.478e-11	-9.8e-12	3.1896e-07	-3.245e-07
0.72	7.3422e-09	-1.5503e-09	4.28e-12	3.2024e-07	-3.259e-07	6.5091e-09	-7.5489e-10	-4.47e-12	3.1898e-07	-3.246e-07	6.0377e-09	-3.1588e-10	-5.78e-12	3.19e-07	-3.2482e-07	5.8644e-09	-1.1729e-10	5.01e-12	3.1878e-07	-3.247e-07	5.8648e-09	-3.309e-11	-3.47e-12	3.19e-07	-3.2474e-07	5.7695e-09	1.65e-12	1.119e-11	3.2026e-07	-3.2596e-07	5.6654e-09	4.746e-11	-3.84e-12	3.1898e-07	-3.247e-07
0.725	7.4242e-09	-1.5801e-09	2.96e-12	3.2022e-07	-3.2592e-07	6.6359e-09	-7.7188e-10	8.1e-13	3.189e-07	-3.2484e-07	6.1751e-09	-3.2991e-10	2.63e-12	3.1898e-07	-3.247e-07	6.0005e-09	-1.1186e-10	-1.914e-11	3.1886e-07	-3.248e-07	6.0048e-09	-2.732e-11	-1.3e-11	3.1894e-07	-3.2498e-07	5.886e-09	2.89e-12	-2.48e-12	3.202e-07	-3.2608e-07	5.7929e-09	3.475e-11	5.39e-12	3.1882e-07	-3.2474e-07
0.73	7.6129e-09	-1.6224e-09	3.5e-13	3.202e-07	-3.2626e-07	6.7593e-09	-7.9458e-10	6.61e-12	3.189e-07	-3.2496e-07	6.2554e-09	-3.4242e-10	1.13e-12	3.1902e-07	-3.249e-07	6.1737e-09	-1.2298e-10	-4.19e-12	3.1886e-07	-3.2488e-07	6.0608e-09	-1.896e-11	-3.9e-13	3.1904e-07	-3.2498e-07	5.9743e-09	3.91e-12	-6.36e-12	3.2018e-07	-3.2608e-07	5.9443e-09	3.919e-11	-1.25e-12	3.189e-07	-3.2476e-07
0.735	7.7313e-09	-1.6391e-09	8.1e-12	3.2026e-07	-3.2632e-07	6.8772e-09	-8.1197e-10	8.5e-13	3.189e-07	-3.2498e-07	6.3989e-09	-3.4787e-10	-9.94e-12	3.19e-07	-3.2502e-07	6.1565e-09	-1.1821e-10	-4.82e-12	3.1892e-07	-3.249e-07	6.2644e-09	-3.505e-11	2.325e-11	3.1894e-07	-3.2508e-07	6.1055e-09	-2.59e-12	9.5e-12	3.2024e-07	-3.2628e-07	5.8808e-09	3.549e-11	-8.25e-12	3.1892e-07	-3.2488e-07
0.74	7.9492e-09	-1.6868e-09	-3.29e-12	3.2028e-07	-3.263e-07	7.0117e-09	-8.3094e-10	-8.49e-12	3.182e-07	-3.244e-07	6.5565e-09	-3.5554e-10	-3.23e-12	3.19e-07	-3.2514e-07	6.3842e-09	-1.3255e-10	-1.53e-12	3.1884e-07	-3.251e-07	6.3491e-09	-2.569e-11	5.43e-12	3.189e-07	-3.2526e-07	6.253e-09	3.56e-12	-1e-12	3.2016e-07	-3.2622e-07	6.2055e-09	3.351e-11	4.64e-12	3.1894e-07	-3.2506e-07
0.745	8.082e-09	-1.7119e-09	-4.14e-12	3.2016e-07	-3.2656e-07	7.2528e-09	-8.5453e-10	2.9e-13	3.189e-07	-3.2506e-07	6.6486e-09	-3.7394e-10	1.288e-11	3.19e-07	-3.252e-07	6.5549e-09	-1.3175e-10	1.49e-12	3.1894e-07	-3.2524e-07	6.5437e-09	-3.689e-11	-9.72e-12	3.1894e-07	-3.2548e-07	6.3943e-09	-2.82e-12	-7.3e-12	3.201e-07	-3.2648e-07	6.2867e-09	2.622e-11	6.86e-12	3.1894e-07	-3.2496e-07
0.75	8.3108e-09	-1.7531e-09	4.87e-12	3.202e-07	-3.268e-07	7.3681e-09	-8.7318e-10	6.29e-12	3.1888e-07	-3.2508e-07	6.6724e-09	-3.813e-10	-1.07e-12	3.183e-07	-3.246e-07	6.4992e-09	-1.379e-10	-1.69e-12	3.1888e-07	-3.2536e-07	6.649e-09	-2.791e-11	-7.2e-13	3.1902e-07	-3.2556e-07	6.5884e-09	2.14e-12	1.23e-12	3.2022e-07	-3.2682e-07	6.3545e-09	3.053e-11	-9.13e-12	3.1888e-07	-3.2516e-07
0.755	8.4744e-09	-1.7842e-09	-6.61e-12	3.2022e-07	-3.2686e-07	7.4677e-09	-8.9419e-10	-2.03e-12	3.19e-07	-3.2544e-07	6.9644e-09	-3.8751e-10	-6.09e-12	3.19e-07	-3.2556e-07	6.7151e-09	-1.4625e-10	7.19e-12	3.1894e-07	-3.256e-07	6.6197e-09	-4.046e-11	-9e-13	3.1894e-07	-3.2578e-07	6.5826e-09	-2.88e-12	7.19e-12	3.2022e-07	-3.2682e-07	6.4528e-09	3.009e-11	2.16e-12	3.1884e-07	-3.2534e-07
0.76	8.6633e-09	-1.8241e-09	6e-14	3.2022e-07	-3.2676e-07	7.6963e-09	-9.1537e-10	-3.13e-12	3.1894e-07	-3.2574e-07	7.0615e-09	-4.0598e-10	5.42e-12	3.19e-07	-3.2554e-07	6.8611e-09	-1.3505e-10	6.04e-12	3.1896e-07	-3.2552e-07	6.8479e-09	-3.711e-11	-3.53e-12	3.1902e-07	-3.2578e-07	6.7062e-09	-2e-12	-2.31e-12	3.202e-07	-3.2696e-07	6.5928e-09	2.243e-11	7.49e-12	3.189e-07	-3.2544e-07
0.765	8.609e-09	-1.8611e-09	1.187e-11	3.2022e-07	-3.2718e-07	7.5844e-09	-9.3996e-10	9.8e-12	3.1902e-07	-3.2584e-07	7.1956e-09	-4.1676e-10	-1.17e-12	3.189e-07	-3.2572e-07	6.9926e-09	-1.6349e-10	2.53e-12	3.1896e-07	-3.259e-07	7.0555e-09	-3.608e-11	-6.63e-12	3.19e-07	-3.2594e-07	6.9018e-09	1.05e-12	-4.42e-12	3.2012e-07	-3.2698e-07	6.8144e-09	2.507e-11	-2.75e-12	3.189e-07	-3.2568e-07
