|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.36	4.12436e-07	4.08964e-07	4.07956e-07	4.1029e-07	4.10072e-07	4.22362e-07
0.355	3.92292e-07	3.86308e-07	3.86008e-07	3.88948e-07	3.8751e-07	3.98294e-07
0.35	3.69806e-07	3.65234000000001e-07	3.64416000000001e-07	3.68208e-07	3.6483e-07	3.76452e-07
0.345	3.48374000000001e-07	3.45000000000001e-07	3.45794000000001e-07	3.47808000000001e-07	3.44134000000001e-07	3.58244000000001e-07
0.34	3.29324000000001e-07	3.27804000000001e-07	3.29632000000001e-07	3.28822000000001e-07	3.27000000000001e-07	3.40536000000001e-07
0.335	3.10364000000001e-07	3.13610000000001e-07	3.13024000000001e-07	3.12108000000001e-07	3.11232000000001e-07	3.22950000000001e-07
0.33	2.92798000000001e-07	2.99082000000001e-07	2.97200000000001e-07	2.96374000000001e-07	2.96008000000001e-07	3.06518000000001e-07
0.325	2.7795e-07	2.83716e-07	2.8257e-07	2.81962e-07	2.82662e-07	2.90116e-07
0.32	2.64318e-07	2.68914e-07	2.6729e-07	2.68374e-07	2.69592e-07	2.74066e-07
0.315	2.50916e-07	2.53904e-07	2.52162e-07	2.54556e-07	2.5589e-07	2.58638e-07
0.31	2.38378e-07	2.39166e-07	2.38628e-07	2.4077e-07	2.4193e-07	2.44224e-07
0.305	2.2599e-07	2.2577e-07	2.26134e-07	2.27564e-07	2.2796e-07	2.31652e-07
0.3	2.13614e-07	2.14004e-07	2.14282e-07	2.14708e-07	2.15218e-07	2.19784e-07
0.295	2.02302e-07	2.03756e-07	2.03482e-07	2.02492e-07	2.03902e-07	2.0757e-07
0.29	1.91788e-07	1.93644e-07	1.92444e-07	1.92132e-07	1.92794e-07	1.96788e-07
0.285	1.81618e-07	1.83066e-07	1.81506e-07	1.8226e-07	1.8157e-07	1.87442e-07
0.28	1.71836e-07	1.72754e-07	1.71492e-07	1.72648e-07	1.7133e-07	1.7712e-07
0.275	1.63982e-07	1.63258e-07	1.63268e-07	1.64338e-07	1.6219e-07	1.66406e-07
0.27	1.58084e-07	1.55712e-07	1.55742e-07	1.57318e-07	1.55058e-07	1.58558e-07
0.265	1.5029e-07	1.4861e-07	1.46004e-07	1.4966e-07	1.48728e-07	1.51976e-07
